,index,total_max,r,g,b,r_d,g_d,b_d,peri,x,y,w,h,asp_ratio,rect,circ,lbp_energy,lbp_entropy,contrast,dissimilarity,homogeneity,energy,correlation,gabor_energy,gabor_entropy
0,0,59,244.47200749590067,244.63785429843054,244.47598969313657,3.2909903093375554,3.2325399146320377,3.2610620053234474,6352.2420909404755,102,105,1225,2234,0.5483437779767234,1.5254357272972534,22.49203437987919,0.15104222501821385,2.766991079131704,83.33381539383615,4.832387731532144,0.3130274050949209,0.059690628840970136,0.9950792387005195,0.4602892475079097,1.481976813311689
0,0,54,248.73234524847427,248.91630340017437,248.72420807904678,3.048503092576337,3.0548552300211775,3.0401399436184646,5194.467491388321,49,75,1032,1910,0.5403141361256545,1.5539338305723978,21.271666848583905,0.1492762811597751,2.7755812194493883,91.71415821186885,5.120396456830098,0.3102933316425425,0.0635972888013763,0.9943385567715217,0.4781347268793482,1.470162406913016
0,0,64,244.69474497681608,244.73338485316847,244.50927357032458,3.0730113006248314,3.0970500548927893,3.1248355402976564,4934.092826724052,123,79,1034,1768,0.584841628959276,1.5567415852329796,20.731387005606013,0.15075160084254202,2.768429695621723,80.21216319236348,4.672702705640141,0.3290295000169393,0.06714567501992748,0.9949620649684697,0.43847220012055066,1.5344763740622858
0,0,74,248.4651109585907,248.71150766415008,248.68954472660718,3.332535803282736,3.2803572676404515,3.40164655898976,5936.859408736229,157,71,1179,2133,0.5527426160337553,1.5277318275565654,21.411938873340333,0.150418786361371,2.77000879568405,75.52477881987424,4.474735483799507,0.3452157438043988,0.08515045960073589,0.99548836150213,0.5337794406830063,1.3190048248134327
0,0,54,248.36822973464194,248.55325336241367,248.42820792439113,2.9482377585710813,2.9300551133159334,2.970567548680706,3662.4561805725098,90,88,777,1321,0.5881907645722937,1.4706326094198305,19.218754087355016,0.14858698021638805,2.779271931020709,79.92376357473887,4.56717507089991,0.34500713629897156,0.07526380326787671,0.9948963324307672,0.5156636656476249,1.3625764760639614
0,0,53,251.74497218656398,251.8806161745828,251.7612323491656,2.8442679652426066,2.8352035343474236,2.8557359683219707,2679.103802204132,98,134,634,914,0.6936542669584245,1.4965090769165212,18.536297162931618,0.15179482086450558,2.7637542413235145,77.37139578300757,3.964674379752369,0.3687310806825261,0.09660262856378989,0.9958660997046426,0.6166754015248302,1.0691697486922433
0,0,43,249.98145806995365,250.14791403286978,249.96797302991993,2.845448984268118,2.846329888942755,2.9884992329793016,3048.9099353551865,103,98,642,1110,0.5783783783783784,1.5497634969825478,20.216064359066095,0.15046269134024312,2.7703022512961075,86.61567507989457,4.56135649692474,0.34729615927287194,0.0905366364493066,0.9946016221487173,0.5035264723135676,1.3684127971067837
0,0,39,248.55679933665007,248.8648424543947,248.86194029850745,3.3903835869802745,3.3887152156324163,2.9809390402927627,2989.738360285759,97,176,639,1085,0.5889400921658986,1.5300643526773892,19.72629248901895,0.1516201203255942,2.764150799542125,86.13185129995895,4.374826168805687,0.3581139436711877,0.09141901221998595,0.9948274435273984,0.529056471571267,1.2943789931974017
0,0,74,247.29664014146772,247.72679045092838,247.61295313881521,2.976325274888993,2.96927654937128,3.0439341540129803,5724.249241113663,117,56,1239,1999,0.6198099049524762,1.5342094512581328,20.297269763147327,0.14995140382538205,2.772217029268601,91.07130818216336,5.01516964914846,0.31973135471990055,0.06709363654655594,0.9948941914993824,0.5182501364395949,1.3402140714313164
0,0,62,247.59907407407408,247.81604938271605,247.67376543209878,3.1299132843183592,3.077013815739654,3.0765024464483357,4052.972981929779,80,121,904,1459,0.6196024674434544,1.5531420563939213,19.34349184502301,0.14891474123825843,2.777759838828909,77.63790444996981,4.4788654998122945,0.3592371200626335,0.07891371698076423,0.995190238804051,0.5404928140094245,1.3023574186527906
